year,asr_cancer_incidence,asr_cancer_incidence_low,asr_cancer_incidence_high
2005.0,16.795142423918843,16.391472115745962,16.996623973695982
2006.0,17.78362414017939,16.840447906423037,18.58710731495778
2007.0,18.471197882197668,16.159482600316235,18.75791523827268
2008.0,17.986705900785868,16.035180762984986,18.81084715709246
2009.0,18.17296366267398,16.26511999117123,18.17296366267398
2010.0,18.181369058835973,16.68293420308961,18.24204772110593
2011.0,18.422615769686388,17.06267368708541,18.566454104487274
2012.0,18.391542561563607,16.942719436231876,18.4449203704868
2013.0,18.066841954616557,17.68018237910027,18.357566336981325
2014.0,17.390866931409384,17.219334421735184,18.370055887378435
2015.0,18.71433797731965,17.373219386193302,18.71433797731965
2016.0,17.77503661055196,17.66572741129241,18.692063429407032
2017.0,18.828936215610415,17.426025907670734,18.867956547587593
2018.0,18.218373031582285,17.891067072676215,18.582628927256607
2019.0,18.241181465897974,17.151711254791344,18.33083496697769
2020.0,18.439685950785453,18.439685950785453,18.757344017558324
2021.0,17.888122397604118,17.049025869558054,18.986706950679924
2022.0,18.8459392160972,17.29971352760968,19.297573137963223
2023.0,17.901475892218766,17.88722658097876,18.69616206106779
2024.0,18.22685662332745,17.617251838330244,18.948795714089687
2025.0,17.233915065719337,17.190394152586034,18.62659867876215
2026.0,17.488888639235597,17.077202672434556,18.813044985160225
2027.0,17.25487215889395,17.206333086692553,18.35539617937784
2028.0,17.753332857217128,17.58056177367201,18.399928067233645
2029.0,17.70442332598026,17.523844532455946,18.65465189707849
2030.0,17.299183437701732,16.172701353058958,18.57911739330906
2031.0,16.87157366741822,16.80543734751225,18.743452707991736
2032.0,17.688377427633554,17.191329265788955,18.690890929533207
2033.0,16.746281678685634,16.729404621278086,18.74537910275553
2034.0,17.233956584459587,16.860316683538784,18.678709100218008
2035.0,17.650775768116482,16.762078615019984,18.491605941037754
2036.0,16.28600171640104,16.270317749759933,18.706098513817096
2037.0,16.773886761904787,15.717563476206378,17.95815262365382
2038.0,15.82236536843842,15.82236536843842,17.86866025105344
2039.0,16.877571812931613,15.843838866585124,17.95990356907791
2040.0,17.42229320395173,15.731588140627231,17.92244687079101
