label,high,low,values
15-25,0.14103218235587592,0.11745651743206612,0.12149853796194576
25-34,0.1356264072314049,0.12239066182077186,0.1276847942323543
35-44,0.15914330722322892,0.14288729086744295,0.1463322964897221
45-54,0.14037246431670844,0.12654182719571447,0.1307954266368306
55-64,0.09829611318121824,0.08958430047700212,0.09791016276856264
