years,total,cleared,persisted,progressed,cancer,dead
22.25,37635616.0,36779600.0,568304.4375,211629.53125,37673.28125,38409.94921875
22.5,37635616.0,36792872.0,556888.25,208592.390625,37565.5859375,39698.03515625
22.75,37635616.0,36801448.0,545890.0625,209902.03125,37608.6640625,40770.72265625
23.0,37635616.0,36807792.0,537872.875,210401.75,37268.33203125,42282.828125
23.25,37635616.0,36823664.0,527697.375,203629.625,37052.93359375,43575.21875
23.5,37635616.0,36833104.0,517599.4375,203228.96875,36880.61328125,44807.296875
23.75,37635616.0,36845080.0,507083.6875,200682.9375,36699.6796875,46073.84375
24.0,37635616.0,36858808.0,497390.75,195526.296875,36583.3671875,47310.234375
24.25,37635616.0,36867784.0,491988.5625,190908.140625,36402.4296875,48538.0078125
24.5,37635616.0,36877624.0,478853.5,193199.984375,36143.94921875,49800.25
24.75,37635616.0,36890480.0,472658.65625,185480.09375,35833.7734375,51170.1875
25.0,37635616.0,36901144.0,466881.625,179621.21875,35502.0625,52471.19921875
25.25,37635616.0,36911416.0,459377.125,175851.75,35299.5859375,53677.4296875
25.5,37635616.0,36924236.0,452691.125,168666.03125,35097.11328125,54926.7421875
25.75,37635616.0,36931060.0,444712.75,168838.34375,34752.4765625,56257.90625
26.0,37635616.0,36942184.0,436824.875,164564.84375,34588.76953125,57459.8359375
26.25,37635616.0,36953748.0,431943.90625,156806.15625,34450.91796875,58670.37890625
26.5,37635616.0,36964020.0,426188.46875,151244.5625,34209.671875,59958.46875
26.75,37635616.0,36973432.0,419941.875,147121.8125,33938.265625,61190.546875
27.0,37635616.0,36978952.0,412476.15625,148164.359375,33567.78125,62461.3984375
27.25,37635616.0,36987464.0,405854.8125,145295.25,33257.60546875,63749.484375
27.5,37635616.0,36997744.0,400948.0,139126.203125,32964.6640625,64835.09375
27.75,37635616.0,37006272.0,394761.75,135843.546875,32710.490234375,66032.71875
28.0,37635616.0,37014800.0,389441.375,131669.09375,32383.083984375,67325.109375
28.25,37635616.0,37021632.0,384573.375,128825.8359375,32077.216796875,68514.109375
28.5,37635616.0,37028008.0,380127.53125,125948.109375,31754.1171875,69780.65625
28.75,37635616.0,37033064.0,374833.0625,125280.3671875,31379.32421875,71060.125
29.0,37635616.0,37037736.0,371683.90625,122936.828125,31103.61328125,72158.65625
29.25,37635616.0,37041088.0,366811.59375,123647.640625,30668.509765625,73403.6640625
29.5,37635616.0,37044472.0,362370.0625,123992.28125,30229.095703125,74558.203125
29.75,37635616.0,37050856.0,358393.78125,120744.0625,29824.14453125,75803.2109375
30.0,37635616.0,37056380.0,352677.09375,120132.328125,29414.88671875,77018.0625
30.25,37635616.0,37061512.0,349967.375,116965.9609375,28988.396484375,78185.5234375
30.5,37635616.0,37064896.0,344267.9375,118482.375,28648.06640625,79322.828125
30.75,37635616.0,37068736.0,337702.5625,120532.9765625,28217.267578125,80429.984375
31.0,37635616.0,37076392.0,334170.0,115643.4140625,27963.09765625,81450.984375
31.25,37635616.0,37083200.0,328922.90625,113355.8828125,27670.15234375,82471.96875
31.5,37635616.0,37088744.0,323654.25,112317.6484375,27390.134765625,83514.5
31.75,37635616.0,37093856.0,320526.625,109629.4765625,27054.11328125,84552.734375
32.0,37635616.0,37099836.0,316968.25,106488.96875,26700.859375,85625.421875
32.25,37635616.0,37104936.0,310829.40625,106747.4375,26390.6875,86715.3359375
32.5,37635616.0,37107484.0,308584.9375,105726.4453125,26153.74609375,87671.703125
32.75,37635616.0,37112108.0,306775.5625,102150.8125,25925.42578125,88658.21875
33.0,37635616.0,37115924.0,303286.09375,101147.0625,25615.25,89649.0625
33.25,37635616.0,37121860.0,298469.78125,99255.859375,25361.078125,90674.359375
33.5,37635616.0,37126536.0,296238.28125,96063.640625,25085.3671875,91695.3515625
33.75,37635616.0,37130800.0,291004.0625,96343.65625,24813.96484375,92660.3359375
34.0,37635616.0,37132464.0,287902.3125,97050.171875,24654.5703125,93552.09375
34.25,37635616.0,37134984.0,285248.625,96399.671875,24434.86328125,94555.8515625
34.5,37635616.0,37139208.0,282133.9375,94573.0859375,24146.2265625,95559.609375
34.75,37635616.0,37144752.0,277270.21875,93172.9921875,23973.908203125,96451.359375
35.0,37635616.0,37149420.0,274603.5625,90562.359375,23521.5703125,97511.125
35.25,37635616.0,37151952.0,273212.09375,88783.15625,23271.70703125,98402.875
35.5,37635616.0,37154452.0,268839.5,90015.2421875,23000.3046875,99311.859375
35.75,37635616.0,37159976.0,264914.9375,87835.40625,22724.59375,100164.84375
36.0,37635616.0,37162536.0,262252.5625,87430.453125,22491.9609375,100910.125
36.25,37635616.0,37165472.0,260869.703125,85336.78125,22013.77734375,101931.109375
36.5,37635616.0,37171888.0,257776.59375,81485.4453125,21794.072265625,102676.40625
36.75,37635616.0,37175280.0,253808.9375,81403.59375,21686.373046875,103443.21875
37.0,37635616.0,37177808.0,251159.53125,81007.2578125,21475.28125,104171.265625
37.25,37635616.0,37181640.0,248923.6875,78904.9609375,21087.5625,105063.015625
37.5,37635616.0,37186336.0,245395.453125,77181.765625,20867.85546875,105838.453125
37.75,37635616.0,37191020.0,242315.25,75032.09375,20652.45703125,106596.6484375
38.0,37635616.0,37194012.0,239252.28125,74528.0546875,20557.681640625,107268.6875
38.25,37635616.0,37196968.0,234892.609375,75346.5703125,20376.74609375,108035.515625
38.5,37635616.0,37200360.0,231351.46875,74920.078125,20148.421875,108836.796875
38.75,37635616.0,37206344.0,229550.71875,70245.921875,19821.015625,109659.625
39.0,37635616.0,37211032.0,227771.515625,66846.9296875,19566.84375,110400.59375
39.25,37635616.0,37213984.0,225147.9375,66024.1015625,19248.0546875,111214.8046875
39.5,37635616.0,37216508.0,223786.625,64270.75390625,18985.265625,112067.7890625
39.75,37635616.0,37218612.0,220689.1875,64830.7890625,18597.548828125,112890.609375
40.0,37635616.0,37219872.0,219754.359375,63973.5078125,18451.078125,113566.96875
40.25,37635616.0,37222832.0,217962.25,62297.69921875,18214.138671875,114312.25
40.5,37635616.0,37224512.0,214485.703125,63641.7890625,17951.3515625,115027.375
40.75,37635616.0,37225784.0,212723.734375,63676.25390625,17714.4140625,115720.953125
41.0,37635616.0,37229176.0,211366.734375,61095.7734375,17473.16796875,116509.3203125
41.25,37635616.0,37230428.0,210039.875,60764.0625,17193.1484375,117194.28125
41.5,37635616.0,37231260.0,208269.3125,61293.9375,16938.9765625,117857.71875
41.75,37635616.0,37234688.0,207343.078125,58355.8984375,16783.890625,118447.90625
42.0,37635616.0,37237244.0,202543.984375,60079.08984375,16615.87890625,119137.1875
42.25,37635616.0,37241516.0,200786.34375,57128.125,16378.939453125,119809.234375
42.5,37635616.0,37242748.0,198158.46875,58032.796875,16137.6923828125,120541.59375
42.75,37635616.0,37246616.0,197645.8125,54181.4609375,15999.8369140625,121174.859375
43.0,37635616.0,37247880.0,197197.796875,52923.53515625,15836.1328125,121782.28125
43.25,37635616.0,37250020.0,195875.234375,51756.0703125,15586.2705078125,122381.09375
43.5,37635616.0,37251720.0,194518.21875,51053.87109375,15401.029296875,122928.2109375
