age,val,year
15,0.3223367697594502,1985.0
20,0.9159620804509352,1985.0
25,0.9716788321167883,1985.0
30,0.9758870134343782,1985.0
35,0.9748991483639623,1985.0
40,0.9441517386722866,1985.0
45,0.853126792885829,1985.0
15,0.411619283065513,1990.0
20,0.8624941833410888,1990.0
25,0.9757686294945284,1990.0
30,0.9744579744579744,1990.0
35,0.9537004559803578,1990.0
40,0.923992673992674,1990.0
45,0.8979481641468683,1990.0
15,0.38125466766243465,1995.0
20,0.8874033841654481,1995.0
25,0.9716580066131318,1995.0
30,0.984635761589404,1995.0
35,0.9674404582454025,1995.0
40,0.9185132237312366,1995.0
45,0.8864915572232646,1995.0
15,0.3271697484591038,2000.0
20,0.931556059746644,2000.0
25,0.9764930114358322,2000.0
30,0.9822627037392138,2000.0
35,0.9828049435787212,2000.0
40,0.9403993855606759,2000.0
45,0.8896198830409356,2000.0
15,0.40250419911436863,2005.0
20,0.8819256756756757,2005.0
25,0.9684857801691007,2005.0
30,0.9804048234280792,2005.0
35,0.9649464459591042,2005.0
40,0.9795249795249795,2005.0
45,0.9037315772969583,2005.0
15,0.42687224669603524,2010.0
20,0.8946389835760769,2010.0
25,0.9731958762886598,2010.0
30,0.9810546875,2010.0
35,0.9726775956284153,2010.0
40,0.9762611275964391,2010.0
45,0.9274755927475593,2010.0
15,0.4749144811858609,2015.0
20,0.9117429290685621,2015.0
25,0.9729518449030644,2015.0
30,0.9731369150779896,2015.0
35,0.9810463968410661,2015.0
40,0.9546158955058667,2015.0
45,0.9443885254151988,2015.0
15,0.5395971302428256,2020.0
20,0.9365580594229941,2020.0
25,0.9801225526827081,2020.0
30,0.9837436868686869,2020.0
35,0.9758149316508938,2020.0
40,0.9546272236658006,2020.0
45,0.9042577157017346,2020.0
