trial_idx,bin,value
7368,0,0.0
7368,1,0.0
7368,2,881.6555786132812
7368,3,5025.435729980469
7368,4,9345.54638671875
7368,5,11990.51220703125
7368,6,13753.86767578125
7368,7,15252.720703125
7368,8,14900.056640625
7368,9,15340.88671875
7368,10,10844.419921875
7368,11,9169.265625
7368,12,5466.29296875
7368,13,3262.142578125
7368,14,440.830078125
7368,15,352.6640625
4837,0,0.0
4837,1,88.16555786132812
4837,2,1146.1522521972656
4837,3,5818.92529296875
4837,4,9433.711669921875
4837,5,11814.181884765625
4837,6,16046.189453125
4837,7,16487.044921875
4837,8,16398.87890625
4837,9,15429.052734375
4837,10,12607.740234375
4837,11,9698.26171875
4837,12,5642.62109375
4837,13,2644.96484375
4837,14,1498.810546875
4837,15,705.3203125
6897,0,0.0
6897,1,88.16555786132812
6897,2,969.8211364746094
6897,3,5289.9322509765625
6897,4,9169.21533203125
6897,5,13930.15625
6897,6,14018.37548828125
6897,7,16046.21484375
6897,8,14371.060546875
6897,9,15252.720703125
6897,10,11726.080078125
6897,11,10315.423828125
6897,12,6259.787109375
6897,13,2292.31640625
6897,14,1763.3203125
6897,15,352.6640625
6832,0,0.0
6832,1,88.16555786132812
6832,2,969.8211364746094
6832,3,5289.9322509765625
6832,4,9169.21533203125
6832,5,13930.15625
6832,6,14018.37548828125
6832,7,16046.21484375
6832,8,14371.060546875
6832,9,15252.720703125
6832,10,11726.080078125
6832,11,10315.423828125
6832,12,6259.787109375
6832,13,2292.31640625
6832,14,1763.3203125
6832,15,352.6640625
4014,0,0.0
4014,1,0.0
4014,2,881.6555786132812
4014,3,4143.7803955078125
4014,4,6788.74560546875
4014,5,11726.01611328125
4014,6,14371.01123046875
4014,7,14811.888671875
4014,8,16751.54296875
4014,9,12960.404296875
4014,10,12607.740234375
4014,11,8992.93359375
4014,12,5907.123046875
4014,13,3262.142578125
4014,14,1146.158203125
4014,15,352.6640625
4012,0,0.0
4012,1,0.0
4012,2,881.6555786132812
4012,3,4143.7803955078125
4012,4,6788.74560546875
4012,5,11726.01611328125
4012,6,14371.01123046875
4012,7,14811.888671875
4012,8,16751.54296875
4012,9,12960.404296875
4012,10,12607.740234375
4012,11,8992.93359375
4012,12,5907.123046875
4012,13,3262.142578125
4012,14,1146.158203125
4012,15,352.6640625
8164,0,0.0
8164,1,264.4966735839844
8164,2,1763.311279296875
8164,3,5113.600830078125
8164,4,10844.36083984375
8164,5,12607.673828125
8164,6,15076.373046875
8164,7,15340.88671875
8164,8,14635.55859375
8164,9,14106.5625
8164,10,12607.740234375
8164,11,9610.095703125
8164,12,4760.96484375
8164,13,2821.3125
8164,14,1851.486328125
8164,15,617.162109375
7858,0,0.0
7858,1,264.4966735839844
7858,2,1763.311279296875
7858,3,5113.600830078125
7858,4,10844.36083984375
7858,5,12607.673828125
7858,6,15076.373046875
7858,7,15340.88671875
7858,8,14635.55859375
7858,9,14106.5625
7858,10,12607.740234375
7858,11,9610.095703125
7858,12,4760.96484375
7858,13,2821.3125
7858,14,1851.486328125
7858,15,617.162109375
7669,0,0.0
7669,1,264.4966735839844
7669,2,1763.311279296875
7669,3,5113.600830078125
7669,4,10844.36083984375
7669,5,12607.673828125
7669,6,15076.373046875
7669,7,15340.88671875
7669,8,14635.55859375
7669,9,14106.5625
7669,10,12607.740234375
7669,11,9610.095703125
7669,12,4760.96484375
7669,13,2821.3125
7669,14,1851.486328125
7669,15,617.162109375
8163,0,0.0
8163,1,264.4966735839844
8163,2,1763.311279296875
8163,3,5113.600830078125
8163,4,10844.36083984375
8163,5,12607.673828125
8163,6,15076.373046875
8163,7,15340.88671875
8163,8,14635.55859375
8163,9,14106.5625
8163,10,12607.740234375
8163,11,9610.095703125
8163,12,4760.96484375
8163,13,2821.3125
8163,14,1851.486328125
8163,15,617.162109375
7857,0,0.0
7857,1,264.4966735839844
7857,2,1763.311279296875
7857,3,5113.600830078125
7857,4,10844.36083984375
7857,5,12607.673828125
7857,6,15076.373046875
7857,7,15340.88671875
7857,8,14635.55859375
7857,9,14106.5625
7857,10,12607.740234375
7857,11,9610.095703125
7857,12,4760.96484375
7857,13,2821.3125
7857,14,1851.486328125
7857,15,617.162109375
7855,0,0.0
7855,1,264.4966735839844
7855,2,1763.311279296875
7855,3,5113.600830078125
7855,4,10844.36083984375
7855,5,12607.673828125
7855,6,15076.373046875
7855,7,15340.88671875
7855,8,14635.55859375
7855,9,14106.5625
7855,10,12607.740234375
7855,11,9610.095703125
7855,12,4760.96484375
7855,13,2821.3125
7855,14,1851.486328125
7855,15,617.162109375
7853,0,0.0
7853,1,264.4966735839844
7853,2,1763.311279296875
7853,3,5113.600830078125
7853,4,10844.36083984375
7853,5,12607.673828125
7853,6,15076.373046875
7853,7,15340.88671875
7853,8,14635.55859375
7853,9,14106.5625
7853,10,12607.740234375
7853,11,9610.095703125
7853,12,4760.96484375
7853,13,2821.3125
7853,14,1851.486328125
7853,15,617.162109375
7852,0,0.0
7852,1,264.4966735839844
7852,2,1763.311279296875
7852,3,5113.600830078125
7852,4,10844.36083984375
7852,5,12607.673828125
7852,6,15076.373046875
7852,7,15340.88671875
7852,8,14635.55859375
7852,9,14106.5625
7852,10,12607.740234375
7852,11,9610.095703125
7852,12,4760.96484375
7852,13,2821.3125
7852,14,1851.486328125
7852,15,617.162109375
7851,0,0.0
7851,1,264.4966735839844
7851,2,1763.311279296875
7851,3,5113.600830078125
7851,4,10844.36083984375
7851,5,12607.673828125
7851,6,15076.373046875
7851,7,15340.88671875
7851,8,14635.55859375
7851,9,14106.5625
7851,10,12607.740234375
7851,11,9610.095703125
7851,12,4760.96484375
7851,13,2821.3125
7851,14,1851.486328125
7851,15,617.162109375
7850,0,0.0
7850,1,264.4966735839844
7850,2,1763.311279296875
7850,3,5113.600830078125
7850,4,10844.36083984375
7850,5,12607.673828125
7850,6,15076.373046875
7850,7,15340.88671875
7850,8,14635.55859375
7850,9,14106.5625
7850,10,12607.740234375
7850,11,9610.095703125
7850,12,4760.96484375
7850,13,2821.3125
7850,14,1851.486328125
7850,15,617.162109375
8165,0,0.0
8165,1,264.4966735839844
8165,2,1763.311279296875
8165,3,5113.600830078125
8165,4,10844.36083984375
8165,5,12607.673828125
8165,6,15076.373046875
8165,7,15340.88671875
8165,8,14635.55859375
8165,9,14106.5625
8165,10,12607.740234375
8165,11,9610.095703125
8165,12,4760.96484375
8165,13,2821.3125
8165,14,1851.486328125
8165,15,617.162109375
7860,0,0.0
7860,1,264.4966735839844
7860,2,1763.311279296875
7860,3,5113.600830078125
7860,4,10844.36083984375
7860,5,12607.673828125
7860,6,15076.373046875
7860,7,15340.88671875
7860,8,14635.55859375
7860,9,14106.5625
7860,10,12607.740234375
7860,11,9610.095703125
7860,12,4760.96484375
7860,13,2821.3125
7860,14,1851.486328125
7860,15,617.162109375
7848,0,0.0
7848,1,264.4966735839844
7848,2,1763.311279296875
7848,3,5113.600830078125
7848,4,10844.36083984375
7848,5,12607.673828125
7848,6,15076.373046875
7848,7,15340.88671875
7848,8,14635.55859375
7848,9,14106.5625
7848,10,12607.740234375
7848,11,9610.095703125
7848,12,4760.96484375
7848,13,2821.3125
7848,14,1851.486328125
7848,15,617.162109375
7847,0,0.0
7847,1,264.4966735839844
7847,2,1763.311279296875
7847,3,5113.600830078125
7847,4,10844.36083984375
7847,5,12607.673828125
7847,6,15076.373046875
7847,7,15340.88671875
7847,8,14635.55859375
7847,9,14106.5625
7847,10,12607.740234375
7847,11,9610.095703125
7847,12,4760.96484375
7847,13,2821.3125
7847,14,1851.486328125
7847,15,617.162109375
8160,0,0.0
8160,1,264.4966735839844
8160,2,1763.311279296875
8160,3,5113.600830078125
8160,4,10844.36083984375
8160,5,12607.673828125
8160,6,15076.373046875
8160,7,15340.88671875
8160,8,14635.55859375
8160,9,14106.5625
8160,10,12607.740234375
8160,11,9610.095703125
8160,12,4760.96484375
8160,13,2821.3125
8160,14,1851.486328125
8160,15,617.162109375
8152,0,0.0
8152,1,264.4966735839844
8152,2,1763.311279296875
8152,3,5113.600830078125
8152,4,10844.36083984375
8152,5,12607.673828125
8152,6,15076.373046875
8152,7,15340.88671875
8152,8,14635.55859375
8152,9,14106.5625
8152,10,12607.740234375
8152,11,9610.095703125
8152,12,4760.96484375
8152,13,2821.3125
8152,14,1851.486328125
8152,15,617.162109375
8153,0,0.0
8153,1,264.4966735839844
8153,2,1763.311279296875
8153,3,5113.600830078125
8153,4,10844.36083984375
8153,5,12607.673828125
8153,6,15076.373046875
8153,7,15340.88671875
8153,8,14635.55859375
8153,9,14106.5625
8153,10,12607.740234375
8153,11,9610.095703125
8153,12,4760.96484375
8153,13,2821.3125
8153,14,1851.486328125
8153,15,617.162109375
8154,0,0.0
8154,1,264.4966735839844
8154,2,1763.311279296875
8154,3,5113.600830078125
8154,4,10844.36083984375
8154,5,12607.673828125
8154,6,15076.373046875
8154,7,15340.88671875
8154,8,14635.55859375
8154,9,14106.5625
8154,10,12607.740234375
8154,11,9610.095703125
8154,12,4760.96484375
8154,13,2821.3125
8154,14,1851.486328125
8154,15,617.162109375
8155,0,0.0
8155,1,264.4966735839844
8155,2,1763.311279296875
8155,3,5113.600830078125
8155,4,10844.36083984375
8155,5,12607.673828125
8155,6,15076.373046875
8155,7,15340.88671875
8155,8,14635.55859375
8155,9,14106.5625
8155,10,12607.740234375
8155,11,9610.095703125
8155,12,4760.96484375
8155,13,2821.3125
8155,14,1851.486328125
8155,15,617.162109375
8156,0,0.0
8156,1,264.4966735839844
8156,2,1763.311279296875
8156,3,5113.600830078125
8156,4,10844.36083984375
8156,5,12607.673828125
8156,6,15076.373046875
8156,7,15340.88671875
8156,8,14635.55859375
