trial_idx,bin,value
8914,0,0.3274705889846932
8914,1,0.0585215362325843
8914,2,0.29997122703351464
8914,3,0.3140366477492078
1725,0,0.3915685460234031
1725,1,0.05492034618728209
1725,2,0.2561628438795595
1725,3,0.29734826390975533
5056,0,0.3683852749217598
5056,1,0.07209015578319664
5056,2,0.30409152555304275
5056,3,0.25543304374200076
4856,0,0.3683852749217598
4856,1,0.07209015578319664
4856,2,0.30409152555304275
4856,3,0.25543304374200076
4864,0,0.3683852749217598
4864,1,0.07209015578319664
4864,2,0.30409152555304275
4864,3,0.25543304374200076
4857,0,0.3683852749217598
4857,1,0.07209015578319664
4857,2,0.30409152555304275
4857,3,0.25543304374200076
4847,0,0.3683852749217598
4847,1,0.07209015578319664
4847,2,0.30409152555304275
4847,3,0.25543304374200076
4854,0,0.3683852749217598
4854,1,0.07209015578319664
4854,2,0.30409152555304275
4854,3,0.25543304374200076
4852,0,0.3683852749217598
4852,1,0.07209015578319664
4852,2,0.30409152555304275
4852,3,0.25543304374200076
4850,0,0.3683852749217598
4850,1,0.07209015578319664
4850,2,0.30409152555304275
4850,3,0.25543304374200076
4858,0,0.3683852749217598
4858,1,0.07209015578319664
4858,2,0.30409152555304275
4858,3,0.25543304374200076
7545,0,0.3791698363301937
7545,1,0.07407001443046611
7545,2,0.29975841751151316
7545,3,0.24700173172782702
6016,0,0.3207555808880084
6016,1,0.06704121849488534
6016,2,0.276086109924095
6016,3,0.3361170906930113
7638,0,0.3670234543562383
7638,1,0.09525171206433676
7638,2,0.2676470810088334
7638,3,0.2700777525705916
9100,0,0.3751925195340324
9100,1,0.05103585729382329
9100,2,0.2772351000673355
9100,3,0.2965365231048088
7438,0,0.3821500830011624
7438,1,0.06740745787448969
7438,2,0.30920312010200446
7438,3,0.24123933902234349
7435,0,0.3821500830011624
7435,1,0.06740745787448969
7435,2,0.30920312010200446
7435,3,0.24123933902234349
9326,0,0.38346807593100835
9326,1,0.0506089843928844
9326,2,0.25631922478779523
9326,3,0.309603714888312
9677,0,0.3775782943900616
9677,1,0.05134580050740158
9677,2,0.258624080782212
9677,3,0.31245182432032487
9682,0,0.3775782943900616
9682,1,0.05134580050740158
9682,2,0.258624080782212
9682,3,0.31245182432032487
9685,0,0.3775782943900616
9685,1,0.05134580050740158
9685,2,0.258624080782212
9685,3,0.31245182432032487
9678,0,0.3775782943900616
9678,1,0.05134580050740158
9678,2,0.258624080782212
9678,3,0.31245182432032487
1718,0,0.3678619362714487
1718,1,0.05091035364877998
1718,2,0.2910400671104552
1718,3,0.2901876429693161
8070,0,0.3659915726732277
8070,1,0.046253538998589215
8070,2,0.2968153310606606
8070,3,0.2909395572675225
8068,0,0.3659915726732277
8068,1,0.046253538998589215
8068,2,0.2968153310606606
8068,3,0.2909395572675225
8066,0,0.3659915726732277
8066,1,0.046253538998589215
8066,2,0.2968153310606606
8066,3,0.2909395572675225
8043,0,0.3659915726732277
8043,1,0.046253538998589215
8043,2,0.2968153310606606
8043,3,0.2909395572675225
8053,0,0.3659915726732277
8053,1,0.046253538998589215
8053,2,0.2968153310606606
8053,3,0.2909395572675225
8054,0,0.3659915726732277
8054,1,0.046253538998589215
8054,2,0.2968153310606606
8054,3,0.2909395572675225
8055,0,0.3659915726732277
8055,1,0.046253538998589215
8055,2,0.2968153310606606
8055,3,0.2909395572675225
8348,0,0.3659915726732277
8348,1,0.046253538998589215
8348,2,0.2968153310606606
8348,3,0.2909395572675225
8047,0,0.3659915726732277
8047,1,0.046253538998589215
8047,2,0.2968153310606606
8047,3,0.2909395572675225
8097,0,0.3659915726732277
8097,1,0.046253538998589215
8097,2,0.2968153310606606
8097,3,0.2909395572675225
8067,0,0.3659915726732277
8067,1,0.046253538998589215
8067,2,0.2968153310606606
8067,3,0.2909395572675225
9323,0,0.36311586719234057
9323,1,0.051154553208575336
9323,2,0.2982951421464587
9323,3,0.28743443745262537
3299,0,0.370749157063598
3299,1,0.0737495701329998
3299,2,0.3001533257610163
3299,3,0.2553479470423859
3295,0,0.370749157063598
3295,1,0.0737495701329998
3295,2,0.3001533257610163
3295,3,0.2553479470423859
3293,0,0.370749157063598
3293,1,0.0737495701329998
3293,2,0.3001533257610163
3293,3,0.2553479470423859
3304,0,0.370749157063598
3304,1,0.0737495701329998
3304,2,0.3001533257610163
3304,3,0.2553479470423859
3300,0,0.370749157063598
3300,1,0.0737495701329998
3300,2,0.3001533257610163
3300,3,0.2553479470423859
7537,0,0.3832731882358304
7537,1,0.06388853050440742
7537,2,0.2983577013303785
7537,3,0.2544805799293837
9664,0,0.3694162824909739
9664,1,0.0528073891809698
9664,2,0.2779762094281389
9664,3,0.29980011889991737
9778,0,0.36831639522725573
9778,1,0.058142015038038286
9778,2,0.2672089416248774
9778,3,0.3063326481098286
8602,0,0.38431914321477967
8602,1,0.07306931248036204
8602,2,0.29268362443174345
8602,3,0.24992791987311486
8605,0,0.38431914321477967
8605,1,0.07306931248036204
8605,2,0.29268362443174345
8605,3,0.24992791987311486
8608,0,0.38431914321477967
8608,1,0.07306931248036204
8608,2,0.29268362443174345
8608,3,0.24992791987311486
8611,0,0.38431914321477967
8611,1,0.07306931248036204
8611,2,0.29268362443174345
8611,3,0.24992791987311486
8603,0,0.38431914321477967
8603,1,0.07306931248036204
8603,2,0.29268362443174345
8603,3,0.24992791987311486
8610,0,0.38431914321477967
8610,1,0.07306931248036204
8610,2,0.29268362443174345
8610,3,0.24992791987311486
8614,0,0.38431914321477967
8614,1,0.07306931248036204
8614,2,0.29268362443174345
8614,3,0.24992791987311486
7273,0,0.37392146243596786
7273,1,0.07801271214263675
7273,2,0.28541963587252445
7273,3,0.2626461895488709
7972,0,0.346547196132355
7972,1,0.06914475142933665
7972,2,0.3309160687784482
7972,3,0.25339198365986015
7989,0,0.346547196132355
7989,1,0.06914475142933665
7989,2,0.3309160687784482
7989,3,0.25339198365986015
7971,0,0.346547196132355
7971,1,0.06914475142933665
7971,2,0.3309160687784482
7971,3,0.25339198365986015
7976,0,0.346547196132355
7976,1,0.06914475142933665
7976,2,0.3309160687784482
7976,3,0.25339198365986015
8013,0,0.346547196132355
8013,1,0.06914475142933665
8013,2,0.3309160687784482
8013,3,0.25339198365986015
7968,0,0.346547196132355
7968,1,0.06914475142933665
7968,2,0.3309160687784482
7968,3,0.25339198365986015
1074,0,0.4034246588672186
1074,1,0.08077102083742833
1074,2,0.26875121797086987
1074,3,0.24705310232448316
2367,0,0.38641129708190963
2367,1,0.06775092045640274
2367,2,0.2847190656835969
2367,3,0.26111871677809073
2371,0,0.38641129708190963
2371,1,0.06775092045640274
2371,2,0.2847190656835969
2371,3,0.26111871677809073
2359,0,0.38641129708190963
2359,1,0.06775092045640274
2359,2,0.2847190656835969
2359,3,0.26111871677809073
2369,0,0.38641129708190963
2369,1,0.06775092045640274
2369,2,0.2847190656835969
2369,3,0.26111871677809073
2364,0,0.38641129708190963
2364,1,0.06775092045640274
2364,2,0.2847190656835969
2364,3,0.26111871677809073
2547,0,0.38641129708190963
2547,1,0.06775092045640274
2547,2,0.2847190656835969
2547,3,0.26111871677809073
6870,0,0.38641129708190963
6870,1,0.06775092045640274
6870,2,0.2847190656835969
6870,3,0.26111871677809073
2540,0,0.38641129708190963
2540,1,0.06775092045640274
2540,2,0.2847190656835969
2540,3,0.26111871677809073
2549,0,0.38641129708190963
2549,1,0.06775092045640274
2549,2,0.2847190656835969
2549,3,0.26111871677809073
6880,0,0.38641129708190963
6880,1,0.06775092045640274
6880,2,0.2847190656835969
6880,3,0.26111871677809073
2404,0,0.38641129708190963
2404,1,0.06775092045640274
2404,2,0.2847190656835969
2404,3,0.26111871677809073
2409,0,0.38641129708190963
2409,1,0.06775092045640274
2409,2,0.2847190656835969
2409,3,0.26111871677809073
2403,0,0.38641129708190963
2403,1,0.06775092045640274
2403,2,0.2847190656835969
2403,3,0.26111871677809073
4555,0,0.38641129708190963
4555,1,0.06775092045640274
4555,2,0.2847190656835969
4555,3,0.26111871677809073
2552,0,0.38641129708190963
2552,1,0.06775092045640274
2552,2,0.2847190656835969
2552,3,0.26111871677809073
2551,0,0.38641129708190963
2551,1,0.06775092045640274
2551,2,0.2847190656835969
2551,3,0.26111871677809073
2550,0,0.38641129708190963
2550,1,0.06775092045640274
2550,2,0.2847190656835969
2550,3,0.26111871677809073
2536,0,0.38641129708190963
2536,1,0.06775092045640274
2536,2,0.2847190656835969
2536,3,0.26111871677809073
2553,0,0.38641129708190963
2553,1,0.06775092045640274
2553,2,0.2847190656835969
2553,3,0.26111871677809073
9423,0,0.3897454517681642
9423,1,0.07374242500391553
9423,2,0.27358667530884234
9423,3,0.2629254479190779
9913,0,0.37510126828368945
9913,1,0.05875373025559109
9913,2,0.2471145492049722
9913,3,0.3190304522557472
9910,0,0.37510126828368945
9910,1,0.05875373025559109
9910,2,0.2471145492049722
9910,3,0.3190304522557472
2231,0,0.37427559463900095
2231,1,0.07956445727956422
2231,2,0.3093723533696843
2231,3,0.23678759471175045
2236,0,0.37427559463900095
2236,1,0.07956445727956422
2236,2,0.3093723533696843
2236,3,0.23678759471175045
2229,0,0.37427559463900095
2229,1,0.07956445727956422
2229,2,0.3093723533696843
2229,3,0.23678759471175045
2227,0,0.37427559463900095
2227,1,0.07956445727956422
2227,2,0.3093723533696843
2227,3,0.23678759471175045
2235,0,0.37427559463900095
2235,1,0.07956445727956422
2235,2,0.3093723533696843
2235,3,0.23678759471175045
7475,0,0.34271377793068675
7475,1,0.07623401342514532
7475,2,0.2970683773392234
7475,3,0.2839838313049445
9442,0,0.3526578566683924
9442,1,0.06723983449460418
9442,2,0.3152994172970576
9442,3,0.2648028915399458
2225,0,0.38127284402212025
2225,1,0.07196261344098386
2225,2,0.3168376644091466
2225,3,0.22992687812774923
8399,0,0.3605485795772175
8399,1,0.0738411046703715
8399,2,0.2912513661019317
8399,3,0.27435894965047936
8393,0,0.3605485795772175
8393,1,0.0738411046703715
8393,2,0.2912513661019317
8393,3,0.27435894965047936
8395,0,0.3605485795772175
8395,1,0.0738411046703715
8395,2,0.2912513661019317
8395,3,0.27435894965047936
8403,0,0.3605485795772175
8403,1,0.0738411046703715
8403,2,0.2912513661019317
8403,3,0.27435894965047936
1847,0,0.39588784265495014
1847,1,0.06204352923663548
1847,2,0.2858100033087114
1847,3,0.25625862479970296
9159,0,0.41021544734151677
9159,1,0.05876456956596749
9159,2,0.25252254201397656
9159,3,0.2784974410785392
9743,0,0.3526157441462197
9743,1,0.05422016192133819
9743,2,0.2810343210619546
9743,3,0.3121297728704875
1353,0,0.4004305336893976
1353,1,0.08001504548325088
1353,2,0.29337631089875005
1353,3,0.2261781099286014
7399,0,0.3774435767568305
7399,1,0.0702143511939144
7399,2,0.32285360522711726
7399,3,0.22948846682213786
1591,0,0.3841764213785246
1591,1,0.0793861164624709
1591,2,0.2776620824625663
1591,3,0.2587753796964382
9179,0,0.369059258851376
9179,1,0.05450100802217929
9179,2,0.2799994560240075
9179,3,0.2964402771024372
4799,0,0.39457106389805047
4799,1,0.06840916039396785
4799,2,0.28353640971297084
4799,3,0.2534833659950108
