x,density
-15.0,2.329659181107745e-05
-14.832775919732441,2.6897985194282603e-05
-14.665551839464882,3.140752216220112e-05
-14.498327759197325,3.6685884083040545e-05
-14.331103678929766,4.2334787578729614e-05
-14.163879598662207,4.7705000962169585e-05
-13.996655518394649,5.2095000025607204e-05
-13.82943143812709,5.5052280614838604e-05
-13.662207357859533,5.6604340687213306e-05
-13.494983277591974,5.727306362013513e-05
-13.327759197324415,5.784625544705147e-05
-13.160535117056856,5.9012768048876875e-05
-12.993311036789297,6.103460054977947e-05
-12.826086956521738,6.360449536746995e-05
-12.65886287625418,6.594792204108016e-05
-12.491638795986622,6.712307911476223e-05
-12.324414715719064,6.639553492348516e-05
-12.157190635451505,6.35436788620413e-05
-11.989966555183948,5.899498684157566e-05
-11.822742474916389,5.378197217423328e-05
-11.65551839464883,4.939712483951715e-05
-11.488294314381271,4.7671769692731424e-05
-11.321070234113712,5.0785340399919016e-05
-11.153846153846153,6.145255888193507e-05
-10.986622073578594,8.328648823259834e-05
-10.819397993311036,0.0001213244951239027
-10.652173913043478,0.000182687974279298
-10.48494983277592,0.00027720987974168596
-10.31772575250836,0.000417532203128104
-10.150501672240804,0.000617808028466469
-9.983277591973245,0.0008902162405986063
-9.816053511705686,0.00123952290424764
-9.648829431438127,0.001657797375589419
-9.481605351170568,0.002122901422795922
-9.31438127090301,0.002603681702004616
-9.14715719063545,0.0030711110445598823
-8.979933110367893,0.0035097860948458642
-8.812709030100335,0.003922209734888234
-8.645484949832776,0.004322127298920167
-8.478260869565219,0.004721171987587476
-8.31103678929766,0.005118924738865653
-8.143812709030101,0.005504329114270574
-7.976588628762542,0.005866854664666571
-7.809364548494983,0.006206850268486276
-7.642140468227424,0.006534839132980157
-7.474916387959866,0.006859777740711926
-7.3076923076923075,0.0071773950149723546
-7.1404682274247495,0.00747067918141034
-6.973244147157191,0.0077235192720435195
-6.806020066889632,0.007935498716508756
-6.638795986622073,0.008123756851370269
-6.471571906354516,0.008309529830315585
-6.304347826086957,0.008501628577611539
-6.137123745819398,0.008692254254590718
-5.969899665551839,0.008868541471334574
-5.80267558528428,0.009027520828444099
-5.6354515050167215,0.009178540140190046
-5.4682274247491645,0.009329807953989308
-5.301003344481606,0.009472490302658393
-5.133779264214047,0.009579766079331644
-4.966555183946488,0.009624663113036381
-4.799331103678929,0.009602111852030734
-4.632107023411372,0.009535564976356955
-4.464882943143813,0.009462194552817351
-4.297658862876254,0.009410135539454884
-4.130434782608695,0.009387704729525265
-3.9632107023411365,0.009391966502610873
-3.7959866220735794,0.009425168146071245
-3.6287625418060205,0.009501134951092957
-3.4615384615384617,0.00963563617218417
-3.294314381270903,0.00983233667365618
-3.127090301003344,0.010080965312842466
-2.959866220735787,0.010371615269960973
-2.792642140468228,0.010711992514180856
-2.625418060200669,0.011131071789179355
-2.4581939799331103,0.011666856343950942
-2.2909698996655514,0.012352707975806222
-2.1237458193979926,0.013217457799720363
-1.9565217391304355,0.01429746991794883
-1.7892976588628766,0.01564262748107885
-1.6220735785953178,0.017302876985692914
-1.454849498327759,0.01930559581923352
-1.2876254180602,0.021650808887662656
-1.120401337792643,0.02433717633874031
-0.9531772575250841,0.027394256614947526
-0.7859531772575252,0.030874920955589007
-0.6187290969899664,0.03478920974204932
-0.4515050167224075,0.03902338757695351
-0.28428093645484864,0.04332573291483449
-0.11705685618729156,0.04740273556414995
0.0501672240802673,0.051073490423120725
0.21739130434782616,0.054361318076137456
0.384615384615385,0.05743701371505849
0.5518394648829439,0.06045258117237828
0.719063545150501,0.06340853293212208
0.8862876254180598,0.0661757702753032
1.0535117056856187,0.06865197777021267
1.2207357859531776,0.07090060069503787
1.3879598662207364,0.07312986820529496
1.5551839464882953,0.0755213362950538
1.7224080267558541,0.07806932777244585
1.889632107023413,0.08059137642118157
2.0568561872909683,0.0829073873839972
2.224080267558527,0.08501695014532581
2.391304347826086,0.08710023191630002
2.558528428093645,0.08934002285110534
2.7257525083612038,0.09174340807223942
2.8929765886287626,0.09414665630369465
3.0602006688963215,0.0964032615642283
3.2274247491638803,0.09856336577125421
3.394648829431439,0.10085100077021941
3.561872909698998,0.10344543277636972
3.729096989966557,0.10627793626220049
3.8963210702341122,0.10905295526814995
4.063545150501671,0.11148295995515481
4.23076923076923,0.11350368680652108
4.397993311036789,0.1152409858145681
4.565217391304348,0.11674260201841234
4.7324414715719065,0.11773614149239316
4.899665551839465,0.11767749670942336
5.066889632107024,0.1160942285684333
5.234113712374583,0.11294728402223873
5.401337792642142,0.10870138387665819
5.568561872909697,0.10404416395521189
5.735785953177256,0.09949322180658318
5.903010033444815,0.09520436717536779
6.070234113712374,0.091089743902973
6.237458193979933,0.08707767605517736
6.404682274247492,0.08325400529248211
6.5719063545150505,0.07978014748989429
6.739130434782609,0.07671262588667523
6.906354515050168,0.07392806635910985
7.073578595317727,0.07122871594011676
7.240802675585286,0.0685138716399293
7.408026755852841,0.06584353978926111
7.5752508361204,0.06333879600285762
7.742474916387959,0.061028374635639225
7.909698996655518,0.058797400864459066
8.076923076923077,0.0564848235510305
8.244147157190636,0.054028300570643104
8.411371237458194,0.05151498534243455
8.578595317725753,0.04909509522074592
8.745819397993312,0.04684761277158438
8.913043478260871,0.04472484831499799
9.080267558528426,0.042617190770881996
9.247491638795985,0.04046293784931981
9.414715719063544,0.038293839051175005
9.581939799331103,0.03617976880500419
9.749163879598662,0.034136758638487565
9.91638795986622,0.03209334601115688
10.08361204013378,0.029948258047964128
10.250836120401338,0.02766440275108962
10.418060200668897,0.025313993140525
10.585284280936456,0.023038858401653546
10.752508361204015,0.020965272385446494
10.91973244147157,0.019144189781017184
11.086956521739129,0.017554847618131152
11.254180602006688,0.016151622576680347
11.421404682274247,0.014905254378775715
11.588628762541806,0.013808479538030395
11.755852842809364,0.012855604105658426
11.923076923076923,0.012026020458719186
12.090301003344482,0.011289212077351252
12.257525083612041,0.010622501321902636
12.4247491638796,0.010020648896664864
12.591973244147159,0.009487531291507307
12.759197324414714,0.009019688088790377
12.926421404682273,0.008598987846594821
13.093645484949832,0.008201245431013499
13.26086956521739,0.0078116414404463645
13.42809364548495,0.007432274324275124
13.595317725752508,0.00707605937979017
13.762541806020067,0.006754209510377378
13.929765886287626,0.006468898909303061
14.096989966555185,0.00621563828994393
14.264214046822744,0.005989915298430192
14.431438127090303,0.005789887671225959
14.598662207357858,0.005612990396233983
14.765886287625417,0.005451812927673753
14.933110367892976,0.0052954696019252324
15.100334448160535,0.005136439792589603
15.267558528428093,0.004976454020007357
15.434782608695652,0.004825262845481869
15.602006688963211,0.004692786662893811
15.76923076923077,0.004581450901895744
15.936454849498329,0.0044852436177394775
16.103678929765888,0.00439564841142683
16.270903010033443,0.0043084865755693485
16.438127090301002,0.004225632260944795
16.60535117056856,0.004151139645707699
16.77257525083612,0.004086700137402063
16.93979933110368,0.004031273018725291
17.107023411371237,0.003984676712703033
17.274247491638796,0.003950359450396413
17.441471571906355,0.003933288497642529
17.608695652173914,0.003934183773055294
17.775919732441473,0.003945693766235198
17.94314381270903,0.0039549009266304
18.11036789297659,0.003950686454817471
18.27759197324415,0.003929703423918733
18.44481605351171,0.003895830035297019
18.612040133779267,0.003854047201756927
18.779264214046826,0.0038048275365583375
18.946488294314378,0.003744346522367686
19.113712374581937,0.003669983268789584
19.280936454849495,0.003585466497175682
19.448160535117054,0.003500570757736339
19.615384615384613,0.0034256953268573323
19.782608695652172,0.0033664295904161194
19.94983277591973,0.0033226973733295564
20.11705685618729,0.003292116223314455
20.28428093645485,0.0032730440962968773
20.451505016722408,0.003263627905195
20.618729096989966,0.0032579893795978677
20.785953177257525,0.0032443879195271086
20.953177257525084,0.003208850844816001
21.120401337792643,0.0031425482324356543
21.287625418060202,0.0030472162898729444
21.45484949832776,0.0029341380247234553
21.62207357859532,0.002817496815884374
21.78929765886288,0.0027073715922280306
21.956521739130437,0.0026072658537171583
22.123745819397996,0.0025165826256706224
22.290969899665555,0.002434332264015286
22.458193979933114,0.002360303022158418
22.625418060200666,0.002293439271348671
22.792642140468224,0.0022303799651638683
22.959866220735783,0.00216678654603837
23.127090301003342,0.0021007944964964286
23.2943143812709,0.0020352232244222235
23.46153846153846,0.0019759426417896107
23.62876254180602,0.001927332621890967
23.795986622073578,0.0018886033898906248
23.963210702341136,0.0018540965473894842
24.130434782608695,0.0018171879395374525
24.297658862876254,0.0017743913715596706
24.464882943143813,0.0017264507302093128
24.632107023411372,0.0016761859496896305
24.79933110367893,0.0016256487634969923
